title,author,isbn,copies
"Common Man, A",Melody Chatwood,934791171-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1940,""status"":""Borrowed""},{""copyNumber"":4553,""status"":""Borrowed""},{""copyNumber"":7862,""status"":""Borrowed""},{""copyNumber"":8229,""status"":""Borrowed""},{""copyNumber"":9587,""status"":""Available""},{""copyNumber"":7187,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9028,""status"":""Available""}]}]"
"Ranma ½: Big Trouble in Nekonron, China (Ranma ½: Chûgoku Nekonron daikessen! Okite yaburi no gekitô hen)",Johna D' Angelo,275153836-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7967,""status"":""Available""},{""copyNumber"":6550,""status"":""Available""},{""copyNumber"":6265,""status"":""Borrowed""}]}]"
The Man Who Loved Yngve,Frasier Broose,288686802-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8627,""status"":""Available""},{""copyNumber"":3696,""status"":""Borrowed""}]}]"
The Skinny,Ingrim Leatt,825313875-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2612,""status"":""Borrowed""},{""copyNumber"":2206,""status"":""Available""}]}]"
Eastern Promises,Dasha Thunderman,543568794-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2460,""status"":""Available""},{""copyNumber"":9836,""status"":""Borrowed""},{""copyNumber"":7471,""status"":""Available""},{""copyNumber"":2829,""status"":""Available""},{""copyNumber"":3378,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9665,""status"":""Borrowed""},{""copyNumber"":9516,""status"":""Borrowed""},{""copyNumber"":4504,""status"":""Available""},{""copyNumber"":4099,""status"":""Available""},{""copyNumber"":9902,""status"":""Available""},{""copyNumber"":1524,""status"":""Available""}]}]"
Lumumba,Alvinia St. Quentin,665037194-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3712,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6727,""status"":""Available""},{""copyNumber"":8490,""status"":""Available""}]}]"
Duplex,Giff Etock,549937945-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5594,""status"":""Borrowed""},{""copyNumber"":8366,""status"":""Available""},{""copyNumber"":9631,""status"":""Borrowed""}]}]"
Countdown,Kynthia Allington,708680335-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3491,""status"":""Available""},{""copyNumber"":7044,""status"":""Borrowed""},{""copyNumber"":7729,""status"":""Available""},{""copyNumber"":8294,""status"":""Available""},{""copyNumber"":4422,""status"":""Available""},{""copyNumber"":5656,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9822,""status"":""Borrowed""}]}]"
Scream,Mahalia Parmby,423940000-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5918,""status"":""Borrowed""}]}]"
"Boys Are Back, The",Fionnula Eberlein,060179706-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4096,""status"":""Available""},{""copyNumber"":1830,""status"":""Available""},{""copyNumber"":9666,""status"":""Borrowed""},{""copyNumber"":5672,""status"":""Borrowed""},{""copyNumber"":5513,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9668,""status"":""Borrowed""},{""copyNumber"":6258,""status"":""Borrowed""},{""copyNumber"":5310,""status"":""Borrowed""},{""copyNumber"":3542,""status"":""Borrowed""},{""copyNumber"":1665,""status"":""Borrowed""},{""copyNumber"":1309,""status"":""Borrowed""}]}]"
Solino,Sandor Caveill,710126167-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5422,""status"":""Borrowed""},{""copyNumber"":3685,""status"":""Available""},{""copyNumber"":2955,""status"":""Available""},{""copyNumber"":5295,""status"":""Borrowed""}]}]"
Oxford Blues,Merrill Khomich,164852709-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5060,""status"":""Borrowed""},{""copyNumber"":3321,""status"":""Available""},{""copyNumber"":4077,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2296,""status"":""Borrowed""},{""copyNumber"":3001,""status"":""Available""},{""copyNumber"":2137,""status"":""Borrowed""},{""copyNumber"":4064,""status"":""Available""},{""copyNumber"":5039,""status"":""Borrowed""}]}]"
Caesar and Cleopatra,Bo Tumilty,449330540-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3132,""status"":""Available""},{""copyNumber"":7072,""status"":""Borrowed""},{""copyNumber"":3974,""status"":""Available""}]}]"
Fawlty Towers (1975-1979),Rhona Rummery,902454417-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3208,""status"":""Borrowed""},{""copyNumber"":7776,""status"":""Available""},{""copyNumber"":7373,""status"":""Available""},{""copyNumber"":6555,""status"":""Available""},{""copyNumber"":5991,""status"":""Available""}]}]"
Diary of a Madman,Arly Phillcox,774138967-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3115,""status"":""Available""},{""copyNumber"":9211,""status"":""Borrowed""},{""copyNumber"":6822,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9515,""status"":""Available""}]}]"
Nebraska,Lek Doncom,877055423-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8134,""status"":""Available""},{""copyNumber"":9707,""status"":""Borrowed""},{""copyNumber"":9733,""status"":""Borrowed""},{""copyNumber"":3327,""status"":""Borrowed""},{""copyNumber"":3064,""status"":""Available""},{""copyNumber"":9535,""status"":""Available""}]}]"
"Art of the Steal, The",Marielle Busher,501370196-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8083,""status"":""Borrowed""},{""copyNumber"":7739,""status"":""Available""},{""copyNumber"":8461,""status"":""Available""},{""copyNumber"":3127,""status"":""Available""},{""copyNumber"":6537,""status"":""Available""}]}]"
Sweepers,Lilyan Dacca,540630598-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6844,""status"":""Borrowed""},{""copyNumber"":2826,""status"":""Borrowed""},{""copyNumber"":5222,""status"":""Available""},{""copyNumber"":1307,""status"":""Available""},{""copyNumber"":6509,""status"":""Borrowed""},{""copyNumber"":1265,""status"":""Available""}]}]"
Lone Wolf and Cub: White Heaven in Hell (Kozure ôkami: Jigoku e ikuzo! Daigorô),Romy Liffey,313251000-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6215,""status"":""Borrowed""},{""copyNumber"":8541,""status"":""Borrowed""},{""copyNumber"":4810,""status"":""Borrowed""}]}]"
Kogel mogel,Karlie Woodhead,158092248-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6491,""status"":""Available""},{""copyNumber"":7121,""status"":""Borrowed""},{""copyNumber"":9669,""status"":""Available""},{""copyNumber"":6885,""status"":""Available""},{""copyNumber"":3232,""status"":""Available""},{""copyNumber"":6474,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3350,""status"":""Borrowed""},{""copyNumber"":1256,""status"":""Available""},{""copyNumber"":9449,""status"":""Available""},{""copyNumber"":1222,""status"":""Borrowed""},{""copyNumber"":8362,""status"":""Available""}]}]"
Fair Game,Robinet Bartosch,979288861-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7218,""status"":""Borrowed""},{""copyNumber"":4187,""status"":""Borrowed""},{""copyNumber"":9343,""status"":""Borrowed""},{""copyNumber"":4543,""status"":""Borrowed""},{""copyNumber"":6815,""status"":""Borrowed""},{""copyNumber"":8463,""status"":""Available""}]}]"
Day of the Dead,Deb Hutchence,037602495-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3979,""status"":""Borrowed""}]}]"
On the Waterfront,Aryn Grief,119449837-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3288,""status"":""Available""},{""copyNumber"":3449,""status"":""Borrowed""},{""copyNumber"":1538,""status"":""Available""}]}]"
Knight Moves,Frans Lubomirski,520848487-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5371,""status"":""Available""},{""copyNumber"":3231,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9475,""status"":""Available""},{""copyNumber"":4461,""status"":""Borrowed""},{""copyNumber"":1937,""status"":""Borrowed""},{""copyNumber"":5969,""status"":""Available""}]}]"
"Girl, Positive",Celine Eaglesham,985626247-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3667,""status"":""Borrowed""},{""copyNumber"":2874,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4287,""status"":""Borrowed""},{""copyNumber"":5201,""status"":""Borrowed""},{""copyNumber"":7990,""status"":""Available""}]}]"
Saw V,Celestia Mathews,583151559-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5353,""status"":""Borrowed""},{""copyNumber"":2098,""status"":""Available""},{""copyNumber"":1219,""status"":""Borrowed""},{""copyNumber"":9076,""status"":""Available""},{""copyNumber"":1211,""status"":""Borrowed""},{""copyNumber"":7330,""status"":""Available""}]}]"
"Other Sister, The",Cleve Fritchly,352290966-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1488,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1789,""status"":""Available""},{""copyNumber"":5756,""status"":""Borrowed""},{""copyNumber"":8804,""status"":""Borrowed""},{""copyNumber"":7853,""status"":""Available""},{""copyNumber"":9900,""status"":""Available""}]}]"
"Monkey's Paw, The",Joleen Brettel,909083384-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5362,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1825,""status"":""Available""}]}]"
The Inhabited Island 2: Rebellion,Aile Lanaway,909318658-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9419,""status"":""Borrowed""},{""copyNumber"":5494,""status"":""Borrowed""},{""copyNumber"":3338,""status"":""Available""},{""copyNumber"":3906,""status"":""Borrowed""},{""copyNumber"":1224,""status"":""Borrowed""},{""copyNumber"":7031,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6005,""status"":""Borrowed""},{""copyNumber"":9313,""status"":""Borrowed""},{""copyNumber"":4760,""status"":""Available""},{""copyNumber"":6032,""status"":""Available""},{""copyNumber"":4491,""status"":""Available""}]}]"
Village of the Giants,Ferne Fossey,054394507-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9930,""status"":""Borrowed""},{""copyNumber"":9479,""status"":""Available""},{""copyNumber"":3670,""status"":""Available""},{""copyNumber"":3650,""status"":""Borrowed""},{""copyNumber"":1208,""status"":""Borrowed""}]}]"
Speed Racer,Ruttger Grastye,012779610-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7392,""status"":""Borrowed""},{""copyNumber"":2680,""status"":""Available""},{""copyNumber"":8874,""status"":""Borrowed""},{""copyNumber"":1421,""status"":""Available""},{""copyNumber"":2798,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6195,""status"":""Available""},{""copyNumber"":2375,""status"":""Borrowed""},{""copyNumber"":2483,""status"":""Available""},{""copyNumber"":8458,""status"":""Available""},{""copyNumber"":4699,""status"":""Available""},{""copyNumber"":1595,""status"":""Borrowed""}]}]"
Film Noir: Bringing Darkness to Light,Meghan Rosendale,442516394-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9621,""status"":""Available""},{""copyNumber"":8160,""status"":""Borrowed""},{""copyNumber"":7684,""status"":""Borrowed""},{""copyNumber"":8969,""status"":""Borrowed""},{""copyNumber"":8841,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8184,""status"":""Available""},{""copyNumber"":9170,""status"":""Available""},{""copyNumber"":5124,""status"":""Borrowed""}]}]"
Haute Cuisine,Dallon Dominka,844015030-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9652,""status"":""Borrowed""},{""copyNumber"":8817,""status"":""Available""}]}]"
Before I Self Destruct,Elnar Spurdon,186514180-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7256,""status"":""Available""},{""copyNumber"":5226,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2012,""status"":""Borrowed""}]}]"
"Exterminating Angels, The (anges exterminateurs, Les)",Aimee Cookes,332523443-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3619,""status"":""Borrowed""},{""copyNumber"":6084,""status"":""Borrowed""},{""copyNumber"":3992,""status"":""Available""},{""copyNumber"":8700,""status"":""Borrowed""},{""copyNumber"":3243,""status"":""Borrowed""},{""copyNumber"":7050,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3941,""status"":""Available""},{""copyNumber"":4325,""status"":""Available""},{""copyNumber"":4467,""status"":""Available""},{""copyNumber"":4519,""status"":""Borrowed""}]}]"
Alien Contamination,Klara Fransemai,013385253-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9697,""status"":""Available""},{""copyNumber"":8721,""status"":""Borrowed""},{""copyNumber"":8421,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5473,""status"":""Available""},{""copyNumber"":2920,""status"":""Available""},{""copyNumber"":5324,""status"":""Available""},{""copyNumber"":7272,""status"":""Borrowed""},{""copyNumber"":6008,""status"":""Borrowed""},{""copyNumber"":9276,""status"":""Borrowed""}]}]"
Perfume,Elston Flatte,337806753-5,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7759,""status"":""Borrowed""},{""copyNumber"":4637,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1666,""status"":""Available""},{""copyNumber"":6033,""status"":""Borrowed""},{""copyNumber"":3586,""status"":""Borrowed""}]}]"
Made in U.S.A.,Jessalin Worling,582800387-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2105,""status"":""Borrowed""},{""copyNumber"":5003,""status"":""Borrowed""},{""copyNumber"":5908,""status"":""Borrowed""},{""copyNumber"":9856,""status"":""Available""}]}]"
"Good Job:  Stories of the FDNY, A",Elisa Leaves,807646677-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6099,""status"":""Available""},{""copyNumber"":9415,""status"":""Borrowed""},{""copyNumber"":4740,""status"":""Available""},{""copyNumber"":8753,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2849,""status"":""Borrowed""},{""copyNumber"":8931,""status"":""Available""}]}]"
"Tale of Two Cities, A",Uriel Banaszewski,489737351-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7028,""status"":""Borrowed""},{""copyNumber"":4470,""status"":""Borrowed""},{""copyNumber"":9293,""status"":""Available""},{""copyNumber"":2524,""status"":""Borrowed""},{""copyNumber"":6759,""status"":""Available""},{""copyNumber"":7734,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6957,""status"":""Available""}]}]"
Mirage Men,Theresina McPartling,630244584-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1989,""status"":""Available""}]}]"
Way Out West,Irita Janovsky,667916222-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3160,""status"":""Borrowed""}]}]"
Two Hands,Myriam Gertz,738804953-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7763,""status"":""Borrowed""},{""copyNumber"":3935,""status"":""Borrowed""},{""copyNumber"":3254,""status"":""Available""},{""copyNumber"":3949,""status"":""Borrowed""},{""copyNumber"":8696,""status"":""Available""}]}]"
Suppose They Gave a War and Nobody Came?,Aland Brenard,079624253-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3641,""status"":""Borrowed""},{""copyNumber"":3080,""status"":""Borrowed""},{""copyNumber"":5272,""status"":""Borrowed""},{""copyNumber"":7739,""status"":""Available""},{""copyNumber"":1468,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9091,""status"":""Borrowed""},{""copyNumber"":2603,""status"":""Available""},{""copyNumber"":9979,""status"":""Available""},{""copyNumber"":1369,""status"":""Available""},{""copyNumber"":3894,""status"":""Available""}]}]"
Police Academy 6: City Under Siege,Kalinda Coath,474113842-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7625,""status"":""Borrowed""},{""copyNumber"":4756,""status"":""Borrowed""},{""copyNumber"":5791,""status"":""Borrowed""},{""copyNumber"":7117,""status"":""Borrowed""},{""copyNumber"":8298,""status"":""Borrowed""}]}]"
Dinner at Eight,Sydel Hillen,725784646-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9567,""status"":""Available""},{""copyNumber"":1615,""status"":""Available""},{""copyNumber"":4574,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5044,""status"":""Borrowed""},{""copyNumber"":8933,""status"":""Available""},{""copyNumber"":1824,""status"":""Available""},{""copyNumber"":2311,""status"":""Borrowed""}]}]"
Either Way (Á annan veg),Heida Piele,966957956-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8699,""status"":""Available""},{""copyNumber"":3196,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7832,""status"":""Available""}]}]"
JLG/JLG (JLG/JLG - autoportrait de décembre),Tobiah Babin,728495441-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5590,""status"":""Available""},{""copyNumber"":1015,""status"":""Available""},{""copyNumber"":5582,""status"":""Borrowed""},{""copyNumber"":9467,""status"":""Borrowed""},{""copyNumber"":9419,""status"":""Available""},{""copyNumber"":6630,""status"":""Available""}]}]"
Carmen,Nedi Fassbender,419575962-5,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7854,""status"":""Available""}]}]"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Darcee Ferretti,141519270-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1817,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8095,""status"":""Borrowed""},{""copyNumber"":2852,""status"":""Borrowed""}]}]"
Shadow Company,Hedy Jess,811109165-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7781,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1643,""status"":""Borrowed""}]}]"
Vincent: A Life in Color,Heath Tisor,522625257-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4974,""status"":""Available""},{""copyNumber"":4265,""status"":""Available""},{""copyNumber"":3871,""status"":""Available""},{""copyNumber"":5761,""status"":""Available""},{""copyNumber"":9698,""status"":""Available""}]}]"
Mr. Morgan's Last Love,Benedikt Jadczak,108171960-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4641,""status"":""Available""},{""copyNumber"":6185,""status"":""Borrowed""},{""copyNumber"":4055,""status"":""Borrowed""},{""copyNumber"":5459,""status"":""Available""},{""copyNumber"":3364,""status"":""Available""},{""copyNumber"":4321,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3954,""status"":""Borrowed""}]}]"
"Big Hangover, The",Phaedra McMakin,011443792-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7061,""status"":""Borrowed""},{""copyNumber"":8526,""status"":""Available""},{""copyNumber"":6141,""status"":""Borrowed""},{""copyNumber"":3971,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4261,""status"":""Available""}]}]"
Only Angels Have Wings,Susy Malcher,466967600-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6956,""status"":""Available""},{""copyNumber"":3318,""status"":""Borrowed""},{""copyNumber"":2564,""status"":""Available""},{""copyNumber"":7733,""status"":""Borrowed""},{""copyNumber"":8706,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7785,""status"":""Borrowed""},{""copyNumber"":3227,""status"":""Borrowed""},{""copyNumber"":7280,""status"":""Borrowed""}]}]"
Ricky Gervais Live 4: Science,Jyoti Blakeborough,594276053-5,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4402,""status"":""Borrowed""},{""copyNumber"":8883,""status"":""Available""},{""copyNumber"":4688,""status"":""Borrowed""},{""copyNumber"":8355,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5302,""status"":""Borrowed""}]}]"
Diamonds Are Forever,Maddie Duchart,702081382-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8136,""status"":""Available""},{""copyNumber"":5647,""status"":""Available""},{""copyNumber"":7651,""status"":""Available""},{""copyNumber"":9476,""status"":""Borrowed""},{""copyNumber"":2936,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2303,""status"":""Available""},{""copyNumber"":7323,""status"":""Available""}]}]"
Harishchandrachi Factory,Jaime Heephy,124010191-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7132,""status"":""Available""},{""copyNumber"":8199,""status"":""Borrowed""},{""copyNumber"":6685,""status"":""Borrowed""},{""copyNumber"":4325,""status"":""Available""}]}]"
Wagner's Dream,Adams Waddell,921394855-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7610,""status"":""Borrowed""},{""copyNumber"":5164,""status"":""Borrowed""},{""copyNumber"":9966,""status"":""Borrowed""},{""copyNumber"":4550,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3917,""status"":""Borrowed""},{""copyNumber"":3840,""status"":""Borrowed""}]}]"
"Have Dreams, Will Travel",Bartholomeo Duffield,744488738-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3899,""status"":""Available""},{""copyNumber"":3469,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5549,""status"":""Borrowed""}]}]"
Stavisky...,Zena Stickens,205589817-5,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9268,""status"":""Available""},{""copyNumber"":3383,""status"":""Borrowed""},{""copyNumber"":4508,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2801,""status"":""Borrowed""},{""copyNumber"":2479,""status"":""Borrowed""},{""copyNumber"":7063,""status"":""Borrowed""},{""copyNumber"":6244,""status"":""Borrowed""},{""copyNumber"":6757,""status"":""Borrowed""},{""copyNumber"":2349,""status"":""Available""}]}]"
Love Steaks,Lorenzo Krzyzaniak,158646715-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8985,""status"":""Borrowed""},{""copyNumber"":6931,""status"":""Available""},{""copyNumber"":7946,""status"":""Available""},{""copyNumber"":2048,""status"":""Available""}]}]"
"Forger, The",Florrie Bartholin,185813819-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4975,""status"":""Borrowed""},{""copyNumber"":4314,""status"":""Available""},{""copyNumber"":9802,""status"":""Available""},{""copyNumber"":7319,""status"":""Available""},{""copyNumber"":2652,""status"":""Available""},{""copyNumber"":7745,""status"":""Available""}]}]"
Godzilla,Nettie Manger,082840675-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5739,""status"":""Available""},{""copyNumber"":5082,""status"":""Borrowed""}]}]"
My Geisha,Brien Fleckness,525032298-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5096,""status"":""Available""},{""copyNumber"":5991,""status"":""Available""},{""copyNumber"":5399,""status"":""Available""},{""copyNumber"":9238,""status"":""Available""},{""copyNumber"":5862,""status"":""Available""},{""copyNumber"":2091,""status"":""Borrowed""}]}]"
Dadetown,Jodi Horbath,698706564-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5169,""status"":""Available""}]}]"
Hot Shots!,Emlynn Jimenez,313898988-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5651,""status"":""Available""},{""copyNumber"":9586,""status"":""Borrowed""},{""copyNumber"":6018,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6052,""status"":""Available""},{""copyNumber"":5914,""status"":""Borrowed""},{""copyNumber"":2258,""status"":""Borrowed""}]}]"
Bad Men of Missouri,Vyky Kopman,535079757-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1650,""status"":""Available""},{""copyNumber"":5419,""status"":""Borrowed""},{""copyNumber"":9938,""status"":""Borrowed""},{""copyNumber"":9353,""status"":""Available""},{""copyNumber"":7460,""status"":""Available""},{""copyNumber"":6013,""status"":""Borrowed""}]}]"
All About Anna,Gradeigh Woollhead,775442748-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5836,""status"":""Available""},{""copyNumber"":7462,""status"":""Available""},{""copyNumber"":4351,""status"":""Borrowed""},{""copyNumber"":2828,""status"":""Available""},{""copyNumber"":7368,""status"":""Borrowed""},{""copyNumber"":7375,""status"":""Borrowed""}]}]"
Bubble,Joni Bougourd,664795402-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1123,""status"":""Available""},{""copyNumber"":9454,""status"":""Available""},{""copyNumber"":9409,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3643,""status"":""Borrowed""},{""copyNumber"":9589,""status"":""Available""},{""copyNumber"":7625,""status"":""Borrowed""},{""copyNumber"":5807,""status"":""Borrowed""},{""copyNumber"":4897,""status"":""Available""},{""copyNumber"":8199,""status"":""Borrowed""}]}]"
Donovan's Reef,Hulda Queen,332188093-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6560,""status"":""Available""},{""copyNumber"":5363,""status"":""Borrowed""},{""copyNumber"":1881,""status"":""Available""}]}]"
Tuck Everlasting,Allx Syred,023226734-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2680,""status"":""Borrowed""},{""copyNumber"":3054,""status"":""Borrowed""},{""copyNumber"":9058,""status"":""Borrowed""},{""copyNumber"":6313,""status"":""Available""}]}]"
Season For Assassins,Bonnie Dowyer,484058546-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3253,""status"":""Available""},{""copyNumber"":7488,""status"":""Available""},{""copyNumber"":6269,""status"":""Available""},{""copyNumber"":3515,""status"":""Borrowed""},{""copyNumber"":7183,""status"":""Available""}]}]"
